Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8
Grand Hôtel des Bains;Yverdon-les-Bains;CH;+41 24 424 64 64;info@bainsyverdon.ch;bainsyverdon.ch;Hôtel SPA;???
Hôtel de la Source;Yverdon-les-Bains;CH;A vérifier;A vérifier;hoteldelasource.ch;Hôtel;??
Vigata;Yverdon-les-Bains;CH;A vérifier;A vérifier;vigatayverdon.ch;Hôtel;??
La Prairie;Yverdon-les-Bains;CH;A vérifier;A vérifier;;Hôtel;??
Lausanne Palace;Lausanne;CH;+41 21 331 31 31;info@lausanne-palace.ch;lausanne-palace.ch;Palace;???
Château d'Ouchy;Lausanne;CH;+41 21 331 32 32;info@chateaudouchy.ch;chateaudouchy.ch;Hôtel;???
Aquatis Hotel;Lausanne;CH;+41 21 654 24 24;info@aquatis-hotel.ch;aquatis-hotel.ch;Hôtel;???
Starling Hotel;Saint-Sulpice (Lausanne);CH;+41 21 694 85 85;contact@shlausanne.ch;starling-hotel-lausanne.com;Hôtel;???
Carlton;Lausanne;CH;+41 21 613 07 07;contact@carltonlausanne.ch;carltonlausanne.com;Hôtel;???
Elite;Lausanne;CH;+41 21 320 23 61;info@elite-lausanne.ch;elite-lausanne.ch;Hôtel;???
Hôtel Swiss Chocolate by Fassbind;Lausanne;CH;+41 21 601 80 00;l@byf.ch;byfassbind.com;Hôtel boutique;???
Best Western Hotel Mirabeau;Lausanne;CH;+41 21 341 42 43;contact@mirabeau.ch;mirabeau.ch;Hôtel;??
Hôtel Royal Savoy;Lausanne;CH;A vérifier;A vérifier;;Palace;???
Agora Swiss Night by Fassbind;Lausanne;CH;A vérifier;A vérifier;byfassbind.com;Hôtel;??
Continental;Lausanne;CH;+41 21 321 88 00;reservation@hotelcontinental.ch;hotelcontinental.ch;Hôtel;??
Swiss Wine Hotel & Bar;Lausanne;CH;+41 21 320 21 41;city@fassbindhotels.com;fassbindhotels.com;Hôtel boutique;??
Mövenpick Hotel;Lausanne;CH;A vérifier;Hotel.lausanne@movenpick.com;movenpick.com;Hôtel chaîne;??
Moxy Lausanne City;Lausanne;CH;A vérifier;A vérifier;marriott.com;Hôtel chaîne;??
Novotel;Lausanne;CH;A vérifier;A vérifier;;Hôtel chaîne;??
ibis Styles Lausanne Center MadHouse;Lausanne;CH;A vérifier;A vérifier;;Hôtel chaîne;?
Ibis Lausanne Centre;Lausanne;CH;+41 21 340 07 07;A vérifier;all.accor.com/hotel/6772;Hôtel chaîne;?
Ibis Budget;Bussigny (Lausanne);CH;+41 21 706 53 53;H7599@ACCOR.COM;all.accor.com/hotel/7599;Hôtel chaîne;?
Zleep Hotel;Lausanne région;CH;A vérifier;A vérifier;;Hôtel chaîne;?
Hôtel AlaGare;Lausanne;CH;+41 21 612 09 09;info@hotelalagare.ch;hotelalagare.ch;Hôtel;??
Hôtel du Marché;Lausanne;CH;A vérifier;A vérifier;hoteldumarche-lausanne.ch;Hôtel;??
Base Hotel;Lausanne;CH;+41 21 552 30 60;A vérifier;baselausanne.com;Hôtel;?
SwissTech Hotel;Ecublens (Lausanne);CH;A vérifier;A vérifier;;Hôtel;??
La cité des inventions;Ecublens (Lausanne);CH;+41 21 694 39 39;A vérifier;hotel-inventions.ch;Hôtel;??
Beausite;Crissier (Lausanne);CH;+41 21 636 26 46;beausitehotel@bluewin.ch;beausitehotel.ch;Hôtel;??
Discovery Hotel;Crissier (Lausanne);CH;A vérifier;A vérifier;discovery-hotel.ch;Hôtel;??
Hostellerie Le Petit Manoir;Morges;CH;+41 21 804 12 00;info@lepetitmanoir.ch;lepetitmanoir.ch;Hôtel boutique;???
La Longeraie;Morges;CH;+41 21 804 64 00;hotel@lalongeraie.ch;lalongeraie.ch;Hôtel;???
La Maison d'Igor;Morges;CH;+41 21 803 06 06;A vérifier;maison-igor.ch;Hôtel boutique;???
Hôtel Mont-Blanc;Morges;CH;+41 21 804 87 87;info@hotel-mont-blanc.ch;hotel-mont-blanc.ch;Hôtel;???
La Nouvelle Couronne;Morges;CH;+41 21 804 81 81;A vérifier;couronne-morges.ch;Hôtel;??
Hemma Boutique Hôtel;Aubonne;CH;A vérifier;A vérifier;njorden.com/hotel;Hôtel boutique;???
Hôtel Lavaux;Cully;CH;+41 21 799 93 93;info@hotellavaux.ch;hotellavaux.ch;Hôtel;???
Le Major Davel;Bourg-en-Lavaux;CH;+41 21 552 19 50;info@major-davel.ch;major-davel.ch;Hôtel;???
Hôtel de l'Ours;Vuiteboeuf;CH;+41 24 459 22 59;A vérifier;hotelours.ch;Hôtel;??
Hôtel Restaurant De La Gare;Chavornay;CH;+41 24 441 41 13;A vérifier;hoteldelagarechavornay.ch;Hôtel;??
Du Lac et Gare;Concise;CH;+41 24 434 18 36;A vérifier;holaga.ch;Hôtel;??
Hôtel des Alpes (Les 3 frères);Savigny;CH;+41 21 781 11 11;A vérifier;hoteldesalpessavigny.ch;Hôtel;??
Hôtel Communal de Ballens;Ballens;CH;+41 21 809 56 53;A vérifier;hotel-ballens.com;Hôtel;??
Croix d'or;Ballaigues;CH;A vérifier;A vérifier;lacroixdor.ch;Hôtel;??
L'Auberge;Baulmes;CH;+41 79 743 58 08;A vérifier;lauberge.ch;Auberge;??
Auberge Au Mai;Mex VD;CH;+41 21 706 60 00;aubergeaumai@gmail.com;aumai.ch;Auberge;??
